group,alias,symbol,action,usd,est_quantity,price_used
Stablecoins,USD,USD,buy,10498.25,,
Stablecoins,USDT,USDT,buy,9017.28,,
Stablecoins,USDC,USDC,buy,1240.36,,
Stablecoins,EUR,EUR,buy,211.13,,
ETH,ETH,WSTETH,buy,3900.86,,
ETH,ETH,ETH,buy,2619.66,,
ETH,ETH,RETH,buy,1761.94,,
ETH,ETH,STETH,buy,318.37,,
ETH,ETH,WETH,buy,132.69,,
BTC,BTC,BTC,sell,-39896.31,,
BTC,BTC,TBTC,sell,-3398.27,,
BTC,BTC,WBTC,sell,-244.71,,
L1/L0 majors,XRP,XRP,sell,-130.45,,
L1/L0 majors,BNB,BNB,sell,-119.2,,
L1/L0 majors,XMR,XMR,sell,-81.16,,
L1/L0 majors,ADA,ADA,sell,-49.92,,
L1/L0 majors,NEAR,NEAR,sell,-47.4,,
L1/L0 majors,ATOM,ATOM,sell,-41.41,,
L1/L0 majors,XLM,XLM,sell,-39.79,,
L1/L0 majors,SUI,SUI,sell,-36.74,,
SOL,SOL,SOL,buy,16630.31,,
SOL,SOL,JUPSOL,buy,10216.1,,
SOL,SOL,JITOSOL,buy,9884.22,,
Others,LINK,LINK,sell,-2603.87,,
Others,DOGE,DOGE,sell,-1989.73,,
Others,AAVE,AAVE,sell,-1819.48,,
Others,BGB,BGB,sell,-1670.25,,
Others,IMO,IMO,sell,-1385.14,,
Others,BCH,BCH,sell,-909.54,,
Others,CHSB,CHSB,sell,-776.67,,
Others,FET,FET,sell,-568.67,,
Others,VVV,VVV3,sell,-431.56,,
Others,ALCX,ALCX,sell,-380.64,,
Others,TAO,TAO6,sell,-362.75,,
Others,UNI,UNI,sell,-350.52,,
Others,INJ,INJ,sell,-343.46,,
Others,S,S5,sell,-324.27,,
Others,ERA,ERA,sell,-286.05,,
Others,VET,VET,sell,-281.89,,
Others,PAXG,PAXG,sell,-258.97,,
Others,USTC,USTC,sell,-251.43,,
Others,OXT,OXT,sell,-251.26,,
Others,CAKE,CAKE,sell,-250.48,,
Others,PENGU,PENGU7,sell,-246.82,,
Others,CRO,CRO,sell,-235.27,,
Others,CFG,CFG,sell,-232.37,,
Others,BAT,BAT,sell,-195.66,,
Others,SUN,SUN2,sell,-180.49,,
Others,ZEC,ZEC,sell,-177.92,,
Others,POL,POL,sell,-173.63,,
Others,GALA,GALA,sell,-156.75,,
Others,THETA,THETA,sell,-151.12,,
Others,PEPE,PEPE4,sell,-149.91,,
Others,DYDX,DYDX,sell,-138.6,,
Others,SHIB,SHIB,sell,-134.08,,
Others,XNO,XNO,sell,-132.5,,
Others,RENDER,RENDER,sell,-128.38,,
Others,GHST,GHST,sell,-114.97,,
Others,ZRX,ZRX,sell,-110.08,,
Others,GNO,GNO,sell,-108.81,,
Others,KSM,KSM,sell,-108.75,,
Others,SAGA,SAGA3,sell,-106.25,,
Others,LDO,LDO,sell,-105.99,,
Others,BNT,BNT,sell,-105.8,,
Others,COMP,COMP,sell,-103.7,,
Others,SCRT,SCRT,sell,-102.29,,
Others,ARPA,ARPA,sell,-101.74,,
Others,GRT,GRT,sell,-100.02,,
Others,MANA,MANA,sell,-89.74,,
Others,CHZ,CHZ,sell,-89.61,,
Others,BNKR,BNKR,sell,-87.96,,
Others,LUNA,LUNA2,sell,-87.7,,
Others,LUNA,LUNA3,sell,-25.63,,
Others,WLD,WLD3,sell,-84.11,,
Others,IOTA,IOTA,sell,-82.62,,
Others,AKT,AKT,sell,-76.91,,
Others,JMPT,JMPT,sell,-76.63,,
Others,EWT,EWT,sell,-75.43,,
Others,ROSE,ROSE,sell,-75.04,,
Others,SUSHI,SUSHI,sell,-74.49,,
Others,SFP,SFP,sell,-73.35,,
Others,QTUM,QTUM,sell,-70.7,,
Others,XVG,XVG,sell,-68.39,,
Others,ANKR,ANKR,sell,-67.14,,
Others,ZIL,ZIL,sell,-67.07,,
Others,ENA,ENA,sell,-65.45,,
Others,DOGI,DOGI3,sell,-63.77,,
Others,ATR,ATR,sell,-59.82,,
Others,RIF,RIF,sell,-59.01,,
Others,FIG,FIG,sell,-58.5,,
Others,GMT,GMT5,sell,-56.94,,
Others,LRC,LRC,sell,-56.0,,
Others,REN,REN,sell,-55.27,,
Others,SAND,SAND,sell,-54.97,,
Others,HEI,HEI2,sell,-54.68,,
Others,YFI,YFI,sell,-54.38,,
Others,JUP,JUP2,sell,-53.26,,
Others,KNC,KNC,sell,-51.26,,
Others,RPL,RPL,sell,-49.92,,
Others,HTM,HTM,sell,-48.28,,
Others,ORCA,ORCA,sell,-45.83,,
Others,VTHO,VTHO,sell,-45.12,,
Others,IMX,IMX,sell,-44.58,,
Others,LCX,LCX,sell,-40.76,,
Others,HBAR,HBAR,sell,-38.54,,
Others,EIGEN,EIGEN,sell,-38.51,,
Others,DIAMOND,DIAMOND,sell,-37.35,,
Others,BONK,BONK,sell,-35.45,,
Others,FXS,FXS,sell,-34.75,,
Others,NEO,NEO,sell,-34.04,,
Others,FLR,FLR2,sell,-33.42,,
Others,VANRY,VANRY,sell,-32.95,,
Others,JUNO,JUNO,sell,-31.35,,
Others,SC,SC,sell,-30.36,,
Others,STRK,STRK2,sell,-30.09,,
Others,SPX,SPX3,sell,-29.73,,
Others,ENJ,ENJ,sell,-27.19,,
Others,SNX,SNX,sell,-27.05,,
Others,PENDLE,PENDLE,sell,-27.04,,
